ts	imei	mwra	p.android.gm	p.android.chrome	p.android.packageinstaller	p.android.externalstorage	p.android.settings	p.android.documentsui	p.system	p.google	p.android.gms	p.olauncher	p.inputmethod.latin	p.katana	p.process.gapps	p.browser.provider	p.gms.persistent	p.android.vending	p.notifier	p.simulator	p.dogalize	p.android.defcontainer
2018-05-05 10:20:00	359043379931766130	0.00000	13.99024	9.37731	12.31707	12.42216	12.55218	15.48019	13.41582	49.10621	46.36301	42.53234	22.15313	8.69926	20.56982	46.90993	41.33008	28.32243	55.29056	63.70274	16.31839	28.09591
2018-05-05 10:21:00	359043379931766072	0.00000	14.40607	11.56608	13.22866	12.43311	15.35317	12.77150	10.00466	59.89789	27.47849	50.75817	53.12243	10.23886	57.56400	14.96722	39.81562	91.00309	25.40046	16.91233	14.14932	25.61290
2018-05-05 10:22:00	863033069630348784	0.00000	8.02083	9.74991	16.07378	14.13602	15.33444	10.79814	11.76477	47.37695	75.45809	73.32590	24.37024	23.43240	67.56482	54.15000	85.56438	51.98104	14.49981	48.34597	38.94960	56.11915
2018-05-05 10:23:00	3590433799317662287	1.00000	12.77590	15.50331	6.54592	10.59852	10.78312	9.25061	13.62567	59.35636	55.52375	66.07663	47.93341	45.91580	35.80839	54.33903	88.36620	42.27609	68.52003	97.82883	26.30632	26.36893
2018-05-05 10:24:00	8630330696303482261	1.00000	10.24844	16.77070	11.37880	14.11094	9.59403	7.21675	11.80134	65.86783	50.27647	33.58857	21.01844	14.47621	41.51241	17.53386	36.97455	22.99146	66.64741	65.99542	22.56535	37.91543
2018-05-05 10:25:00	8630330696303482410	1.00000	12.99520	9.10793	9.46253	12.22361	13.45638	11.29175	12.88257	57.79445	21.86433	42.04952	19.14983	83.49129	82.41312	67.25729	86.66434	12.72399	88.77116	0.22197	6.97862	55.98085
2018-05-05 10:26:00	863033069630348024	1.00000	7.56079	13.09886	13.04163	14.49422	8.17411	9.43335	13.12474	46.61642	44.49318	35.27832	38.68841	67.52873	81.96482	29.76920	33.81470	70.67856	31.76808	20.43377	2.53743	76.33925
2018-05-05 10:27:00	3590433799317661859	0.00000	10.65516	12.75931	11.80302	13.38468	12.37756	11.86083	8.52831	47.95716	62.90005	30.27531	62.42984	40.46143	88.19635	10.14302	45.40494	66.34116	38.37655	97.86782	63.41623	31.28952
2018-05-05 10:28:00	8630330696303481768	0.00000	13.52442	18.39213	8.39360	11.82002	10.34387	15.18543	8.38903	54.45190	43.55752	47.50935	49.38567	2.75871	85.37516	70.63327	11.97927	23.15151	56.29843	97.62927	24.16938	4.08193
2018-05-05 10:29:00	863033069630348651	1.00000	7.40737	11.39864	13.20101	14.67504	10.58952	16.08674	14.13347	51.49387	53.72316	49.85225	65.77363	76.97334	41.56307	92.62668	10.55173	99.00416	88.53580	46.34772	55.66965	11.89258
2018-05-05 10:30:00	8630330696303481065	1.00000	12.02414	10.54141	11.13638	15.07278	13.62776	14.53075	14.06921	61.31298	60.17169	64.87204	26.16649	94.09159	78.17110	46.00603	50.96277	13.91099	30.12364	97.97291	43.43354	65.55036
2018-05-05 10:31:00	8630330696303481073	1.00000	9.98692	10.54657	11.02630	11.72355	9.37120	12.57838	12.30297	36.47353	50.14260	35.73870	13.66623	15.57074	56.38230	25.28333	61.57700	22.30954	65.84988	54.12657	85.53455	85.22876
2018-05-05 10:32:00	8630330696303482378	1.00000	10.10676	10.62066	12.86314	15.55232	11.34227	15.47374	10.22648	66.60350	63.66235	61.21035	48.96845	28.54613	61.78469	25.12275	83.08992	84.65293	42.27534	93.44112	19.22859	45.67531
2018-05-05 10:33:00	3590433799317661941	1.00000	15.35117	12.21711	9.96129	13.93948	12.51579	16.16470	8.92795	45.78083	56.89034	49.73349	21.26438	10.97986	64.54569	87.37437	68.10469	15.33499	90.61358	98.43980	80.97826	56.84618
2018-05-05 10:34:00	863033069630348495	1.00000	9.02735	13.58207	9.20170	14.34710	8.08011	9.90770	14.02154	47.62997	54.99276	49.19535	78.77710	59.86819	6.09817	46.70337	29.93666	26.70613	27.03547	91.38684	40.05813	4.91490
2018-05-05 10:35:00	8630330696303482154	1.00000	9.51063	11.35338	5.47789	12.55661	7.76996	12.52251	13.93905	45.38062	61.51065	53.78452	42.39790	36.11027	44.63940	65.81149	68.41846	34.58203	89.89375	46.84196	99.17939	13.65544
2018-05-05 10:36:00	863033069630348487	0.00000	13.67688	11.66580	9.14353	12.49148	14.45682	12.14748	11.71390	51.74603	31.41774	65.89600	49.68752	93.65187	6.99122	16.17092	93.03458	51.62219	6.27352	57.68377	69.93677	84.80440
2018-05-05 10:37:00	863033069630348727	0.00000	12.84815	11.87401	13.83199	14.78693	13.52570	12.36200	13.13161	65.38732	56.51259	53.73343	12.98101	65.76867	94.75966	67.63239	83.27834	40.25098	58.32539	42.67200	72.10238	86.68499
2018-05-05 10:38:00	359043379931766221	0.00000	12.29111	13.06043	8.16855	11.57205	10.99226	15.42816	11.08084	67.38320	39.38953	58.20448	83.34852	55.87969	30.54807	4.66073	96.91470	21.62065	12.28540	79.33525	66.25242	78.61769
2018-05-05 10:39:00	359043379931766981	1.00000	7.58369	13.68114	9.18008	14.16369	10.59255	7.61750	13.78359	43.24341	53.45491	53.06344	24.73497	96.61897	17.93088	7.73502	62.59647	11.08141	61.96706	95.92492	59.42308	23.44296
2018-05-05 10:40:00	359043379931766189	0.00000	12.92491	11.94608	10.24211	12.12761	15.21243	12.17347	10.99954	33.08138	25.81182	10.95316	61.66541	52.05714	0.95797	86.49440	29.65769	5.57635	41.43554	18.75455	89.58599	52.36635
2018-05-05 10:41:00	8630330696303481701	0.00000	12.78438	12.57179	10.84781	14.25792	14.57986	12.52400	7.69642	55.63323	64.46393	62.66191	63.70579	57.66234	2.20630	33.26068	74.60909	54.61057	80.68422	52.37000	0.45406	21.79217
2018-05-05 10:42:00	8630330696303481701	1.00000	9.59791	10.81341	8.08664	12.47498	12.05859	11.86090	14.29081	65.17762	40.99334	49.81460	19.77163	8.38589	36.80069	91.49933	67.57675	66.33985	12.85892	64.52206	61.99657	25.39515
2018-05-05 10:43:00	863033069630348123	1.00000	7.70125	6.35090	5.90698	12.33137	14.79708	11.93329	15.94022	44.90957	41.91622	40.67118	81.35861	71.17832	10.66655	87.63559	33.90167	23.44288	66.05568	34.69866	11.58609	27.72085
2018-05-05 10:44:00	8630330696303481909	0.00000	13.86207	12.30768	13.73497	13.27525	14.35676	13.85020	15.23632	41.45138	55.32944	48.12299	9.81750	23.76990	48.32642	89.30971	80.11694	24.56306	31.77793	84.56066	6.84156	67.81794
2018-05-05 10:45:00	8630330696303481479	0.00000	12.87371	7.22716	6.54813	15.00760	15.59273	12.45364	13.34068	61.45765	60.01480	53.61286	58.02203	39.99196	37.36557	73.46580	36.95502	93.77016	42.89432	10.61553	56.08366	22.37282
2018-05-05 10:46:00	3590433799317661271	1.00000	8.32346	8.22294	9.98200	15.38842	15.22335	15.78769	13.64154	50.50360	68.95916	37.12642	83.37939	36.09498	5.85108	40.71114	59.77640	86.23251	33.59702	75.20159	78.10099	61.12043
2018-05-05 10:47:00	863033069630348487	1.00000	8.01748	10.10517	11.70536	15.94123	11.08786	11.30596	13.63209	23.02889	56.47619	43.53244	52.81436	69.66463	28.93396	58.03812	31.60462	61.09429	25.80814	80.15504	47.08830	92.17572
2018-05-05 10:48:00	3590433799317661685	0.00000	12.01562	12.46519	9.32182	14.55078	12.81750	12.31722	10.55376	71.51496	52.49976	71.23602	41.37469	56.66691	67.20650	45.93024	51.37374	35.07236	0.74036	41.33091	60.79038	94.14480
2018-05-05 10:49:00	863033069630348024	1.00000	11.84964	7.65957	5.85577	11.54306	15.56591	11.54150	13.35647	66.88830	66.90146	37.19499	94.29259	19.76530	36.70842	62.03433	96.65108	85.23039	78.02649	41.24835	31.98725	66.48666
2018-05-05 10:50:00	8630330696303481008	0.00000	15.55909	14.67445	10.48981	15.90431	15.02059	13.21454	8.07467	40.84567	66.88107	72.32296	2.96525	25.39193	73.81401	41.51872	75.30694	33.16080	80.37412	89.90675	57.19019	86.82406
2018-05-05 10:51:00	3590433799317661131	0.00000	10.72566	14.70067	8.33802	12.73820	12.46386	13.02371	9.30186	42.16044	46.12728	68.70551	41.09716	80.20237	71.57072	29.38346	39.40603	90.73281	50.37300	3.61448	42.02557	97.19754
2018-05-05 10:52:00	863033069630348453	1.00000	8.24359	12.36124	9.02893	11.78577	8.72801	9.04102	15.33796	76.04089	69.07921	40.46315	82.34158	21.11944	77.69791	26.23549	14.38162	7.55700	70.43771	27.56188	34.31580	60.20913
2018-05-05 10:53:00	359043379931766627	1.00000	11.54984	8.49453	10.91479	11.04617	13.20636	17.26649	18.51289	48.36775	48.56869	32.90658	59.32703	76.27290	42.51284	26.64321	43.61051	93.90150	37.29568	54.76590	77.04400	34.09864
2018-05-05 10:54:00	3590433799317661826	1.00000	6.67385	10.91399	8.72409	11.10120	12.51421	14.60358	17.46006	63.13905	44.08851	37.51813	37.26418	6.38632	65.97778	25.07865	36.68016	55.54150	53.68283	52.54194	53.59009	99.80408
2018-05-05 10:55:00	3590433799317661347	1.00000	10.36624	8.74629	10.46090	13.08066	13.43559	11.44783	14.27709	65.46353	45.02823	61.81032	33.30903	30.25648	77.45954	39.11218	0.73421	8.15701	83.39585	19.58171	91.26423	13.47217
2018-05-05 10:56:00	8630330696303482279	1.00000	10.61396	14.20852	7.51600	10.08980	5.20226	7.77631	12.98552	43.00325	36.73181	69.03859	69.27974	12.13890	13.39627	11.42702	92.93824	20.25497	46.23110	14.24833	5.15466	91.09754
2018-05-05 10:57:00	3590433799317662030	0.00000	14.32389	13.68650	12.82408	15.11448	12.97016	15.15178	7.33338	58.54867	35.68707	50.42079	16.81667	34.97605	91.99612	44.04607	33.02289	29.98103	79.37614	11.91538	1.29945	20.82570
2018-05-05 10:58:00	3590433799317661560	1.00000	11.19430	13.99689	4.67301	12.52229	9.18234	11.41588	14.41121	51.72697	41.80479	56.44137	3.51507	92.39327	20.58546	98.93821	54.92741	62.70547	13.46086	7.97970	49.14742	17.61084
2018-05-05 10:59:00	8630330696303481396	1.00000	9.19539	8.01158	8.40591	13.05093	15.51725	13.49885	11.08632	56.30598	41.25804	46.99836	54.53740	49.05706	13.03028	94.46109	2.84916	94.32219	83.82229	34.13001	61.79330	85.62611
2018-05-05 11:00:00	8630330696303481420	1.00000	8.90966	15.25666	7.50799	11.72446	11.97347	6.72038	14.78519	53.17032	72.38160	45.05325	18.72476	2.57111	30.92427	47.84023	9.01421	16.92551	94.15059	43.28795	90.06313	11.64890
2018-05-05 11:01:00	3590433799317661099	1.00000	11.69772	10.72843	12.64978	11.23104	13.95502	10.53681	10.36186	60.51985	48.61452	61.79784	3.80470	54.15906	34.57128	19.37010	70.27748	21.15977	85.87525	88.72509	59.02285	37.89556
2018-05-05 11:02:00	8630330696303482204	1.00000	7.60751	9.84712	12.86800	12.19703	13.50368	15.45843	12.08349	55.14979	50.51617	55.78002	32.14403	52.63833	41.42939	57.81854	76.06798	32.91090	54.69961	66.05351	22.39227	67.70853
2018-05-05 11:03:00	359043379931766759	0.00000	14.14042	12.36984	12.81579	13.60207	12.12934	15.02226	13.97719	44.89315	44.00453	32.99862	10.46752	94.43357	59.68309	16.36192	64.76343	66.89622	35.10097	49.74102	45.16188	68.86270
2018-05-05 11:04:00	3590433799317662113	1.00000	6.23900	10.45098	13.13385	14.18566	11.71782	14.98302	14.23105	69.66712	58.74892	65.60355	75.89838	18.90039	70.12757	47.44055	9.45383	72.07019	33.52506	15.40105	99.16220	63.15950
2018-05-05 11:05:00	359043379931766767	1.00000	13.22902	9.44278	8.71331	13.90379	14.44679	12.10488	11.73305	75.24650	59.45277	50.78352	1.01135	60.88838	64.46944	88.88961	5.17093	54.30337	12.29985	25.07387	49.98724	50.40164
2018-05-05 11:06:00	3590433799317662345	1.00000	11.97813	14.08911	11.91846	13.33165	7.05396	8.96575	12.86663	34.82972	58.28333	48.97642	51.72223	92.27035	54.79097	0.93703	89.64206	9.51477	89.45819	13.74265	12.80924	72.96000
2018-05-05 11:07:00	863033069630348057	0.00000	11.55948	10.46952	16.72297	14.52260	15.72655	10.92571	12.22165	48.10969	48.08142	52.02585	15.78014	89.54700	48.27140	86.99116	26.39063	44.33475	27.00797	20.70649	20.59199	79.85525
2018-05-05 11:08:00	3590433799317662170	0.00000	14.19870	14.55584	9.46154	14.31861	13.79739	13.51241	7.56587	42.43604	50.31783	43.54480	77.78813	46.03051	77.38341	15.82739	34.23732	66.99115	58.55352	16.03557	76.54793	53.82228
2018-05-05 11:09:00	359043379931766155	1.00000	7.53023	9.57476	11.44758	14.17027	11.20958	7.08747	11.29261	68.79752	25.87707	44.34664	61.55587	44.55113	93.04755	52.82344	80.79885	97.00830	53.85537	16.74675	61.71632	6.69467
2018-05-05 11:10:00	8630330696303481347	0.00000	11.75019	10.15168	12.57697	15.36759	11.44755	11.63752	12.57157	64.12467	38.29251	41.81225	97.16385	93.75285	44.49224	73.67136	13.26519	70.91295	32.32515	78.25255	35.23750	62.63792
2018-05-05 11:11:00	359043379931766106	1.00000	6.03052	8.52377	10.51754	12.29530	12.95556	14.70224	13.03541	38.77093	61.75533	50.58813	92.88290	90.00681	95.37406	30.19689	18.58505	27.39054	1.85058	9.01402	30.39879	29.28212
2018-05-05 11:12:00	359043379931766304	1.00000	10.19507	17.46381	9.40932	14.91964	5.30441	7.93859	13.57752	41.94768	31.92610	45.78567	94.13174	12.64554	25.27355	97.36496	45.30751	43.59783	88.84674	28.28588	52.88741	0.91334
2018-05-05 11:13:00	8630330696303481032	1.00000	10.94235	7.38469	7.49132	13.21087	16.08314	12.20509	13.57371	35.73649	59.20686	53.83074	22.76230	29.24049	99.45008	39.02954	18.60253	91.80921	93.74757	32.83135	58.51433	49.47475
2018-05-05 11:14:00	359043379931766221	1.00000	9.26059	9.64001	9.99419	12.11084	13.05995	13.05377	13.80515	44.23275	30.23999	67.46466	4.22956	48.39412	18.12313	65.69842	75.41255	96.28992	11.19359	13.41178	49.29791	41.73205
2018-05-05 11:15:00	359043379931766296	1.00000	12.81268	11.15980	11.59070	15.70638	11.90786	15.55653	13.02389	42.45388	47.65121	24.01058	56.11015	81.35217	49.13049	6.00424	34.87760	54.03980	74.58553	95.98132	18.27313	72.30131
2018-05-05 11:16:00	3590433799317661156	0.00000	14.85567	12.11884	10.90710	12.44745	13.27082	16.26894	12.27652	54.13911	15.33489	61.78707	4.62106	42.47571	60.83382	85.81402	73.79098	49.25637	11.65000	46.13046	83.03367	33.04871
2018-05-05 11:17:00	8630330696303482386	1.00000	9.21539	12.57295	7.52101	10.94595	9.07475	8.79215	12.01029	31.09414	49.82150	47.90713	14.78527	78.85086	50.05002	21.74827	33.66243	2.75311	30.88034	35.68500	59.28679	99.85102
2018-05-05 11:18:00	359043379931766163	0.00000	12.03922	11.41183	13.34492	14.23815	13.30841	11.01347	14.17566	35.42714	43.85537	54.84050	54.70560	34.65066	33.13458	38.43130	29.04085	91.84488	63.25082	59.43079	46.37835	30.50589
2018-05-05 11:19:00	3590433799317661677	1.00000	9.15588	11.57711	11.85197	16.10881	7.71650	9.89127	15.40932	65.27932	46.85066	56.05316	21.14023	44.06901	23.27987	36.96305	58.80173	8.49361	67.48113	30.02339	39.28191	43.66852
2018-05-05 11:20:00	359043379931766635	1.00000	11.33323	7.50395	6.95922	15.32008	16.12230	10.71714	13.30447	41.09527	36.16175	51.86210	50.43615	56.11269	32.50485	27.25624	49.34289	83.00629	47.11102	27.32616	48.33483	74.56100
2018-05-05 11:21:00	359043379931766361	0.00000	14.54534	13.59882	13.51141	12.88474	14.46305	13.49401	16.09515	41.61667	30.19111	60.02968	61.39515	84.87422	84.07102	44.50418	60.12952	27.05503	35.45180	47.35468	74.26499	19.06110
2018-05-05 11:22:00	359043379931766213	0.00000	13.49758	11.70901	8.81080	15.95904	13.90774	13.40455	8.86858	66.10801	46.30216	40.18309	97.47643	87.91189	63.72335	72.60779	49.80321	37.55675	65.11833	48.35266	49.40498	65.92005
2018-05-05 11:23:00	3590433799317662139	1.00000	9.84760	10.00850	6.58211	12.83406	12.96916	10.18428	12.67729	16.64642	43.00983	87.98903	93.15867	94.66619	21.74399	87.21525	94.99731	99.40945	59.81225	34.10756	33.93359	39.47511
2018-05-05 11:24:00	359043379931766395	1.00000	4.16724	10.28794	10.37669	14.90746	9.76335	7.53409	10.57202	70.33350	62.53133	46.15168	27.34954	73.07199	67.96195	97.60032	91.01032	10.72204	59.60758	25.18169	45.77863	23.41841
2018-05-05 11:25:00	359043379931766262	1.00000	12.54051	12.49144	7.92183	13.41241	13.14113	11.51804	14.39164	60.72285	62.75145	21.74566	7.10222	88.72221	58.22208	72.07628	97.85447	26.29657	2.88396	35.58723	64.13303	63.28815
2018-05-05 11:26:00	8630330696303481784	1.00000	12.69058	10.70656	10.67938	15.11036	16.05316	11.38091	8.45846	65.15376	56.84125	58.18434	90.65733	84.37163	24.06529	6.50531	45.44467	92.96618	62.29032	98.39026	32.83240	15.94373
2018-05-05 11:27:00	8630330696303482352	1.00000	7.85622	11.88073	13.27267	12.96221	10.84898	8.56565	14.59573	81.61833	36.13473	31.76545	84.43707	41.71164	19.78859	84.24078	98.78708	76.73338	76.10503	8.97271	16.86200	92.26645
2018-05-05 11:28:00	359043379931766130	1.00000	9.60194	10.12754	11.14262	12.64531	10.44746	9.88751	11.73834	38.09736	75.67870	22.96070	28.35115	42.17934	77.04119	73.43068	16.58629	24.59406	65.91194	91.67158	20.79527	52.01683
2018-05-05 11:29:00	863033069630348669	1.00000	12.05027	15.59725	8.06473	14.32683	8.28621	7.93612	13.23875	34.89130	38.31951	38.77211	77.32597	15.34966	82.91111	74.72741	67.64434	49.80254	77.39748	2.83754	71.83202	86.25406
2018-05-05 11:30:00	3590433799317661081	1.00000	6.26842	10.75328	6.72285	9.56106	11.51739	10.49249	15.48840	58.27013	40.86079	48.31575	29.95238	81.27963	70.86137	99.56608	80.24774	13.89150	64.04066	96.99437	1.38871	46.20811
2018-05-05 11:31:00	8630330696303481511	1.00000	6.76710	12.02254	7.66626	14.11583	12.68008	13.79029	14.67552	56.73621	59.97901	51.10603	23.71527	36.79155	56.75887	70.03113	25.80264	79.96808	42.44359	27.99413	62.32453	42.30686
2018-05-05 11:32:00	359043379931766536	1.00000	12.97131	12.41583	8.16507	13.86770	13.77301	14.01665	9.09243	46.52349	46.02612	30.29520	47.93574	73.34921	85.51261	70.87228	89.36275	87.28853	22.47149	14.95133	94.74867	8.28473
2018-05-05 11:33:00	863033069630348610	0.00000	13.38021	9.92774	10.79578	13.47715	13.50190	13.39707	11.06319	56.37376	33.43931	40.89980	6.41180	9.69657	56.88268	42.81830	72.62097	26.36301	73.06394	59.15604	15.05987	68.79437
2018-05-05 11:34:00	8630330696303481818	0.00000	12.32835	7.79256	16.74542	11.07264	18.91728	12.40061	16.11456	46.12781	53.89207	48.58282	72.46718	15.77055	9.59105	54.84772	23.24306	40.34909	35.25445	75.98507	75.41081	89.03150
2018-05-05 11:35:00	3590433799317661735	1.00000	13.64921	14.35965	11.46128	12.70218	11.55303	7.57687	12.95935	67.47813	51.21468	41.39279	46.13701	5.75713	88.05506	38.35232	8.70649	31.92767	31.70524	63.36901	91.02103	56.81238
2018-05-05 11:36:00	359043379931766155	1.00000	7.80638	15.89653	9.56099	14.66609	6.93591	7.87716	12.61679	49.87802	71.34578	54.31484	89.89736	13.70199	30.65981	98.39164	6.69744	79.78378	11.76260	35.05926	49.08838	90.16844
2018-05-05 11:37:00	359043379931766296	0.00000	12.93309	15.65089	9.73160	11.21453	10.60851	17.03407	11.09008	52.16920	36.18439	23.18250	13.47382	35.81623	14.33808	80.40429	93.33846	76.55416	41.63035	49.08631	94.93655	20.93279
2018-05-05 11:38:00	359043379931766528	1.00000	12.18229	7.69425	9.78241	15.44837	17.19787	14.50525	8.12986	66.57671	42.56192	47.11598	80.21513	27.28751	76.60272	12.82318	50.30872	21.47398	36.53982	28.19244	58.39198	7.90460
2018-05-05 11:39:00	863033069630348321	0.00000	14.83573	11.96886	15.94201	15.47871	12.54777	14.93190	11.49121	55.26271	52.33246	52.06981	76.06661	53.20431	64.79485	38.68397	72.18519	26.66159	30.12079	45.91319	53.57002	96.17973
2018-05-05 11:40:00	8630330696303481560	1.00000	8.54884	9.35485	12.69484	13.96311	13.01642	15.26511	14.25936	66.91369	58.27730	40.32858	43.17397	37.47327	0.93118	67.92993	53.86539	81.58493	81.07962	11.44217	87.13098	8.88693
2018-05-05 11:41:00	3590433799317661925	0.00000	13.46364	11.57431	10.36229	13.66749	12.26911	14.24218	9.21526	65.35876	47.49541	39.75577	48.84799	61.47659	57.94557	47.26763	74.43390	78.56019	48.14633	26.53509	58.37077	52.52636
2018-05-05 11:42:00	359043379931766668	0.00000	12.63413	16.12979	8.75350	13.56680	10.29407	15.25027	8.71236	57.10754	45.30386	73.83636	48.84068	87.02777	81.70007	72.32238	68.02888	43.93473	63.54234	67.67679	30.39459	86.73099
2018-05-05 11:43:00	8630330696303482436	0.00000	12.97027	6.82938	11.79585	12.38297	11.86255	14.19786	12.41534	20.84195	47.57071	55.39898	75.85862	38.62451	81.92172	51.85458	26.07387	96.54933	91.32600	88.29488	96.90112	12.67201
2018-05-05 11:44:00	8630330696303481479	1.00000	9.71587	8.81436	8.42762	13.55617	14.11192	10.63107	12.80731	78.67093	30.01922	45.69200	59.45856	74.88305	46.04797	57.80146	45.97961	85.06590	86.76095	44.83757	69.40594	32.05710
2018-05-05 11:45:00	8630330696303481065	1.00000	10.74961	8.55083	11.81854	13.18699	12.58747	11.52947	11.73937	40.69354	54.25431	50.95281	97.43972	80.23384	11.66207	9.16407	96.36502	2.12872	34.15068	47.01599	49.94508	58.29707
2018-05-05 11:46:00	359043379931766130	0.00000	15.33095	11.48889	12.08272	11.77189	14.65615	12.43800	17.69356	55.19356	26.32708	43.21764	17.32089	33.02560	42.60647	71.61018	6.22325	75.02719	78.39852	14.72180	95.17123	61.09695
2018-05-05 11:47:00	863033069630348776	0.00000	14.97650	12.53895	14.76383	13.57614	14.40890	12.23506	13.55690	59.94914	79.14410	43.66577	33.66649	15.24787	93.38948	74.52734	69.28873	72.86756	97.45045	81.96828	65.74058	58.36238
